measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,African trypanosomiasis,Number,1990,1046807.95909,1711524.61851,559113.715937
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,African trypanosomiasis,Percent,1990,0.000427866028724,0.000705568436689,0.000228913899839
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Schistosomiasis,Number,1990,2096796.52451,3410075.39528,1340223.46541
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Schistosomiasis,Percent,1990,0.000854010128885,0.00134322398456,0.000559501581863
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cysticercosis,Number,1990,489041.918697,621439.820905,363432.315901
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cysticercosis,Percent,1990,0.000199429262714,0.000245044069233,0.000152805072645
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cystic echinococcosis,Number,1990,326776.498382,449152.878973,237405.100763
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cystic echinococcosis,Percent,1990,0.000133142282081,0.000176550447651,0.000100892771198
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lymphatic filariasis,Number,1990,1595715.17666,2983467.61247,733402.465522
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lymphatic filariasis,Percent,1990,0.00064919617417,0.00118492770951,0.000304777897054
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Onchocerciasis,Number,1990,1420364.89617,2254933.6416,776985.30178
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Onchocerciasis,Percent,1990,0.000578008957622,0.000903981165601,0.000324122541318
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trachoma,Number,1990,231129.653038,324265.371595,156918.085506
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trachoma,Percent,1990,9.40401809183e-05,0.000126125460929,6.75396076498e-05
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Dengue,Number,1990,822828.873108,1364033.40443,308153.535149
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Dengue,Percent,1990,0.000335847853146,0.000565320171064,0.000127245295175
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Yellow fever,Number,1990,784526.123745,2314589.76834,170567.952006
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Yellow fever,Percent,1990,0.000320549726352,0.000970332796509,6.84083465843e-05
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Rabies,Number,1990,2979380.4383,4076410.59021,1867413.74604
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Rabies,Percent,1990,0.00121821829183,0.00170208943609,0.000759188567412
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal nematode infections,Number,1990,7460869.822,11583951.8071,4726561.85352
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal nematode infections,Percent,1990,0.00303653751305,0.0045238600709,0.00197691176967
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Food-borne trematodiases,Number,1990,1424989.19813,2937699.46577,591708.285837
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Food-borne trematodiases,Percent,1990,0.000579934325231,0.00115599605188,0.000242134505305
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other neglected tropical diseases,Number,1990,3311149.47826,4421630.282,2409699.35915
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other neglected tropical diseases,Percent,1990,0.00135108546008,0.00178605437045,0.00101176912672
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Sexually transmitted diseases excluding HIV,Number,1990,16447558.2443,25590386.0476,9960074.6427
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Sexually transmitted diseases excluding HIV,Percent,1990,0.00672018022429,0.0104977233726,0.00407352466545
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis,Number,1990,9017207.39267,9723896.28197,8255126.75296
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis,Percent,1990,0.0036854442368,0.00402451544108,0.00333774737645
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Maternal sepsis and other maternal infections,Number,1990,2102511.51021,2721366.42114,1613945.96417
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Maternal sepsis and other maternal infections,Percent,1990,0.000859433051724,0.0011202739564,0.000656931749137
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Neonatal sepsis and other neonatal infections,Number,1990,24573050.4455,31156578.545,18972522.6022
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Neonatal sepsis and other neonatal infections,Percent,1990,0.0100452505633,0.012907588746,0.00782040012631
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tuberculosis,Number,1990,68029714.1363,73066263.7141,64153366.3126
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tuberculosis,Percent,1990,0.0278078399855,0.0303138201091,0.0256612952865
