cause,category
African trypanosomiasis,Neglected tropical diseases and malaria
Schistosomiasis,Neglected tropical diseases and malaria
Cysticercosis,Neglected tropical diseases and malaria
Cystic echinococcosis,Neglected tropical diseases and malaria
Lymphatic filariasis,Neglected tropical diseases and malaria
Onchocerciasis,Neglected tropical diseases and malaria
Trachoma,Neglected tropical diseases and malaria
Dengue,Neglected tropical diseases and malaria
Yellow fever,Neglected tropical diseases and malaria
Rabies,Neglected tropical diseases and malaria
Intestinal nematode infections,Neglected tropical diseases and malaria
Food-borne trematodiases,Neglected tropical diseases and malaria
Other neglected tropical diseases,Neglected tropical diseases and malaria
Sexually transmitted diseases excluding HIV,"Other communicable, maternal, neonatal, and nutritional diseases"
Hepatitis,"Other communicable, maternal, neonatal, and nutritional diseases"
Maternal sepsis and other maternal infections,Maternal disorders
Neonatal sepsis and other neonatal infections,Neonatal disorders
Tuberculosis,HIV/AIDS and tuberculosis
HIV/AIDS,HIV/AIDS and tuberculosis
Diarrheal diseases,"Diarrhea, lower respiratory, and other common infectious diseases"
Intestinal infectious diseases,"Diarrhea, lower respiratory, and other common infectious diseases"
Lower respiratory infections,"Diarrhea, lower respiratory, and other common infectious diseases"
Upper respiratory infections,"Diarrhea, lower respiratory, and other common infectious diseases"
Otitis media,"Diarrhea, lower respiratory, and other common infectious diseases"
Meningitis,"Diarrhea, lower respiratory, and other common infectious diseases"
Encephalitis,"Diarrhea, lower respiratory, and other common infectious diseases"
Diphtheria,"Diarrhea, lower respiratory, and other common infectious diseases"
Whooping cough,"Diarrhea, lower respiratory, and other common infectious diseases"
Tetanus,"Diarrhea, lower respiratory, and other common infectious diseases"
Measles,"Diarrhea, lower respiratory, and other common infectious diseases"
Varicella and herpes zoster,"Diarrhea, lower respiratory, and other common infectious diseases"
Malaria,Neglected tropical diseases and malaria
Chagas disease,Neglected tropical diseases and malaria
Leishmaniasis,Neglected tropical diseases and malaria
Maternal deaths aggravated by HIV/AIDS,Maternal disorders
Ebola,Neglected tropical diseases and malaria
Leprosy,Neglected tropical diseases and malaria
Other infectious diseases,Other infectious diseases
Zika virus,Neglected tropical diseases and malaria
Guinea worm disease,Neglected tropical diseases and malaria
